"Block Size"	"Sync?"	"Num Bytes Read"	"Wall Clock Time"	"User Time"	"Sys Time"
2048	s	33556480	3.699	0.120	3.570
2048	s	33556480	3.740	0.110	3.640
2048	s	33556480	3.732	0.130	3.600
2048	s	33556480	3.791	0.130	3.660
2048	s	33556480	3.760	0.130	3.630
4096	s	33558528	2.009	0.100	1.910
4096	s	33558528	2.089	0.030	2.060
4096	s	33558528	2.037	0.050	1.980
4096	s	33558528	2.038	0.080	1.970
4096	s	33558528	2.051	0.040	2.010
8192	s	33562624	1.051	0.040	1.000
8192	s	33562624	1.093	0.020	1.080
8192	s	33562624	1.092	0.040	1.050
8192	s	33562624	1.090	0.050	1.040
8192	s	33562624	1.086	0.040	1.040
16384	s	33570816	0.589	0.010	0.590
16384	s	33570816	0.593	0.010	0.580
16384	s	33570816	0.584	0.020	0.560
16384	s	33570816	0.594	0.020	0.580
16384	s	33570816	0.590	0.000	0.580
32768	s	33587200	0.339	0.000	0.340
32768	s	33587200	0.340	0.000	0.340
32768	s	33587200	0.340	0.010	0.330
32768	s	33587200	0.342	0.000	0.350
32768	s	33587200	0.328	0.010	0.320
65536	s	33619968	0.203	0.000	0.200
65536	s	33619968	0.210	0.000	0.210
65536	s	33619968	0.210	0.000	0.210
65536	s	33619968	0.218	0.000	0.220
65536	s	33619968	0.213	0.000	0.210
512	-	67109376	0.174	0.040	0.140
512	-	67109376	0.215	0.070	0.130
512	-	67109376	0.215	0.070	0.160
512	-	67109376	0.219	0.050	0.170
512	-	67109376	0.178	0.050	0.120
1024	-	67109888	0.143	0.040	0.100
1024	-	67109888	0.145	0.020	0.130
1024	-	67109888	0.112	0.010	0.100
1024	-	67109888	0.149	0.030	0.120
1024	-	67109888	0.144	0.020	0.120
2048	-	67110912	0.111	0.010	0.100
2048	-	67110912	0.106	0.010	0.100
2048	-	67110912	0.072	0.020	0.050
2048	-	67110912	0.076	0.010	0.070
2048	-	67110912	0.108	0.020	0.090
4096	-	67112960	0.091	0.020	0.070
4096	-	67112960	0.054	0.020	0.030
4096	-	67112960	0.093	0.030	0.070
4096	-	67112960	0.094	0.000	0.090
4096	-	67112960	0.084	0.000	0.080
8192	-	67117056	0.087	0.010	0.080
8192	-	67117056	0.050	0.000	0.050
8192	-	67117056	0.054	0.000	0.050
8192	-	67117056	0.086	0.020	0.080
8192	-	67117056	0.087	0.000	0.080
16384	-	67125248	0.048	0.000	0.050
16384	-	67125248	0.083	0.000	0.080
16384	-	67125248	0.083	0.000	0.090
16384	-	67125248	0.086	0.010	0.070
16384	-	67125248	0.080	0.000	0.080
32768	-	67141632	0.082	0.010	0.070
32768	-	67141632	0.059	0.000	0.060
32768	-	67141632	0.082	0.000	0.080
32768	-	67141632	0.080	0.000	0.080
32768	-	67141632	0.049	0.000	0.050
65536	-	67174400	0.085	0.000	0.090
65536	-	67174400	0.080	0.000	0.080
65536	-	67174400	0.082	0.000	0.080
65536	-	67174400	0.050	0.000	0.050
65536	-	67174400	0.077	0.000	0.080
512	s	67109376	27.473	1.110	26.360
512	s	67109376	27.472	1.160	26.310
512	s	67109376	27.331	1.320	26.010
512	s	67109376	27.344	1.190	26.160
512	s	67109376	27.358	1.170	26.180
1024	s	67109888	14.237	0.640	13.610
1024	s	67109888	14.139	0.520	13.610
1024	s	67109888	14.078	0.650	13.430
1024	s	67109888	14.099	0.580	13.520
1024	s	67109888	14.097	0.500	13.600
2048	s	67110912	7.440	0.250	7.180
2048	s	67110912	7.386	0.200	7.190
2048	s	67110912	7.466	0.260	7.200
2048	s	67110912	7.575	0.300	7.290
2048	s	67110912	7.475	0.290	7.180
4096	s	67112960	4.079	0.170	3.910
4096	s	67112960	4.134	0.100	4.030
4096	s	67112960	4.124	0.150	3.970
4096	s	67112960	4.127	0.080	4.050
4096	s	67112960	4.140	0.090	4.050
8192	s	67117056	2.223	0.080	2.140
8192	s	67117056	2.232	0.100	2.140
8192	s	67117056	2.188	0.020	2.160
8192	s	67117056	2.225	0.090	2.140
8192	s	67117056	2.165	0.110	2.060
16384	s	67125248	1.183	0.030	1.150
16384	s	67125248	1.183	0.040	1.140
16384	s	67125248	1.172	0.060	1.110
16384	s	67125248	1.175	0.040	1.140
16384	s	67125248	1.205	0.000	1.200
